lipid,p_value,significance....ifelse.p_values....0.001.........ifelse.p_values....
PI_.32.0.,5.57012615733581e-29,***
PE.O_.34.2.,9.81031520572837e-26,***
SM_.42.1.,1.61689818994852e-25,***
PC.P_.34.1.,3.15898652989556e-23,***
PC.P_.36.1.,4.24285100849349e-23,***
PE.O_.34.1.,2.6080605185072e-22,***
SM_.44.2.,1.29621048265854e-20,***
PE.O_.36.3.,4.27103440685842e-20,***
PA_.38.1.,3.82200780622174e-19,***
PI_.38.1.,9.73123624496048e-19,***
LysoPAF_.18.1.,1.12704784718791e-18,***
FFA_.22.2.,1.23997389479134e-18,***
PE.O_.38.4.,1.56856768139815e-18,***
SM_.44.1.,2.85368370221708e-18,***
SM_.42.2.,1.72953616457687e-17,***
PE.P_.36.2.,2.86283599114491e-17,***
Hex.Cer_.38.1.,5.77236287158801e-17,***
PE.O_.30.0.,6.9259904493331e-17,***
PC.O_.32.1.,2.79984382280472e-16,***
PC.O_.32.0.,3.03674673174599e-16,***
PE.O_.36.1.,3.88375245007353e-16,***
FFA_.20.2.,9.96235117874331e-16,***
PC.O_.34.2.,2.28688095276677e-15,***
PC.O_.35.0.,2.73655303487406e-15,***
LysoPAF_.16.0.,2.83851591280666e-15,***
PE.P_.36.4.,3.63516264834236e-15,***
LPE_.16.0.,3.6365836183151e-15,***
PC.O_.30.0.,7.23191851207173e-15,***
Hex.Cer_.36.0.,7.28999362231793e-15,***
PG_.32.0.,9.55792341690889e-15,***
LPE_.18.0.,1.17676987183528e-14,***
LPC_.22.1.,2.61958281678593e-14,***
Hex.Cer_.36.1.,2.73567269532118e-14,***
PE.P_.34.3.,2.76056191853337e-14,***
PE_.38.4.,2.81118475418715e-14,***
PC.P_.33.0.,3.55650700425e-14,***
LPC_.16.1.,4.02843029210296e-14,***
PC.P_.35.1.,4.40094642588244e-14,***
S1P_.18.0.,5.36602321724137e-14,***
PC.O_.36.2.,5.77380301596756e-14,***
PE_.30.1.,9.82299761608299e-14,***
PC.P_.32.0.,1.16845588737979e-13,***
LPE_.20.1.,1.76191075315623e-13,***
PE_.36.4.,1.88636828742236e-13,***
SM_.40.1.,2.10142518758709e-13,***
PE_.32.0.,2.17981593000732e-13,***
LPC_.18.2.,2.46854111875343e-13,***
PE.O_.38.2.,3.31321977092334e-13,***
PE_.38.5._2nd_peak,4.30578233152846e-13,***
Cer_.36.2.,6.18710459821891e-13,***
PE.P_.34.1.,6.61925225701749e-13,***
PE.P_.32.3.,1.13411975052847e-12,***
Carnitine_.02.0.,1.15174476744903e-12,***
LPE_.16.1.,1.22481675242105e-12,***
Hex.Cer_.38.0.,1.53722313269574e-12,***
PC.O_.38.2.,2.22695420515486e-12,***
PI_.34.1.,2.2857344778778e-12,***
PC.O_.34.1.,2.45858632823261e-12,***
FFA_.22.5.,2.89554596412082e-12,***
PI_.36.1.,2.90558404680921e-12,***
LPE_.22.0.,2.97429912221422e-12,***
PE.P_.38.4.,3.82920362250249e-12,***
LPE_.18.2.,3.96023680840957e-12,***
LPC_.20.0.,4.61779492073908e-12,***
PC_.32.0.,5.04442728448219e-12,***
GD1a_.36.2.,5.28556043445023e-12,***
PS_.38.3.,7.30039344520459e-12,***
PI_.40.2.,7.360061734625e-12,***
PC_.34.1.,1.0276542148035e-11,***
LysoPAF_.18.0.,1.09941138720387e-11,***
SM_.34.2.,1.23193090160597e-11,***
S1P_.18.1.,1.25632396690238e-11,***
FFA_.18.2.,1.30634296248404e-11,***
PC.P_.32.1.,1.46254146097544e-11,***
PC_.32.1.,1.48619044141029e-11,***
LPE_.18.1.,1.85986776062018e-11,***
PA_.34.2.,2.02401091800313e-11,***
PE_.30.0.,2.44215724843788e-11,***
SM_.36.2.,2.47454162905255e-11,***
PC.O_.34.0.,2.77980576984553e-11,***
PA_.38.2.,2.85510157995298e-11,***
PC.O_.36.1.,3.3175521974833e-11,***
LPC_.14.0.,3.37531452394055e-11,***
PE_.40.8._1st_peak,3.39821449827694e-11,***
PE_.36.2.,3.84951204490866e-11,***
PE.P_.36.1.,3.87515560998046e-11,***
SM_.34.1.,3.88668238792356e-11,***
LPC_.18.1.,4.03314612627044e-11,***
LPC_.20.2.,4.13355580346884e-11,***
SM_.32.1.,4.36006112593407e-11,***
PC_.30.0.,4.43866309295376e-11,***
Carnitine_.04.0.,4.52276834665625e-11,***
SM_.40.2.,4.53918231505396e-11,***
PC_.34.0.,4.92811347493282e-11,***
Hex.Cer_.38.1.OH.,5.18786357099311e-11,***
PE.P_.37.4.,7.80404842282243e-11,***
LPE_.20.2.,9.35979308531024e-11,***
PE_.36.1.,9.43745912110376e-11,***
PI_.37.3.,9.66289582182600e-11,***
Cer_.44.2.,1.2022125601611e-10,***
FFA_.22.3.,1.21163215199335e-10,***
PE.P_.38.2.,1.34928139762795e-10,***
LPE_.20.4.,1.61975082864912e-10,***
LPC_.20.1.,1.7500841557574e-10,***
SM_.34.0.,1.99974125547757e-10,***
PC_.36.2.,2.12543046685513e-10,***
PC.P_.38.4.,2.30150301355889e-10,***
PE.P_.33.1.,2.57029398442634e-10,***
TG_.46.0.,2.68551631020201e-10,***
PE.P_.35.1.,2.82685961825136e-10,***
Cer_.38.2.,3.61426343021283e-10,***
LPC_.18.0.,3.70167203395034e-10,***
FFA_.22.4.,3.98077342450557e-10,***
Cer_.34.1.OH.,5.25094515482622e-10,***
FFA_.20.1.,5.4723333660287e-10,***
LPE_.20.3.,6.20701509310718e-10,***
PC.P_.40.4.,6.82471621927263e-10,***
PG_.35.0.,8.14955878934142e-10,***
PE_.38.0.,8.33847018909644e-10,***
PC_.36.1.,8.65487536208936e-10,***
Hex.Cer_.34.0.OH.,8.69268573672996e-10,***
LPC_.20.5.,8.71284454924009e-10,***
LPC_.20.3.,1.0523811391876e-09,***
PC_.33.0.,1.11284871560258e-09,***
PE_.40.3.,1.31075329848446e-09,***
PE_.34.1.,1.3781714958429e-09,***
SM_.32.0.,1.58248602604173e-09,***
PE.P_.40.4.,1.58814804493167e-09,***
PC.O_.33.1.,1.65479719647974e-09,***
PC_.39.5.,1.80874706052432e-09,***
PC_.34.2.,1.88004750549871e-09,***
SM_.41.1.,1.90389931322881e-09,***
PC_.38.4.,2.13871171419071e-09,***
Cer_.41.1.OH.,2.14394670263741e-09,***
PC_.37.3.,2.19165509560267e-09,***
PG_.34.1.,3.61823549643171e-09,***
PS_.37.3.,4.03205303780241e-09,***
LPE_.20.0.,4.86898939590433e-09,***
LPC_.16.0.,5.35290469486283e-09,***
SM_.38.0.,5.65005986382999e-09,***
Cer_.36.1.,5.82768339324558e-09,***
PC_.38.0.,7.26767547892097e-09,***
Hex.Cer_.40.0.,8.30250038098468e-09,***
LPE_.22.1.,8.70389637451361e-09,***
FFA_.20.4.,8.73594972558945e-09,***
SM_.36.0.,8.78379479960319e-09,***
PG_.36.3.,1.03759590210867e-08,***
PC_.36.0.,1.12542365073694e-08,***
FFA_.22.6.,1.2166104191133e-08,***
PE_.38.6._2nd_peak,1.23416790652701e-08,***
PC_.38.2.,1.42098307329155e-08,***
PC_.38.1.,1.49151630987359e-08,***
FFA_.20.5.,1.70952205816193e-08,***
PC.P_.31.0.,1.98771632271742e-08,***
PE.P_.30.0.,2.07725883093539e-08,***
S_.35.1.,2.17024279420622e-08,***
LPI_.20.3.,2.25531257147899e-08,***
Carnitine_.03.0.,2.52562946415891e-08,***
PE_.40.5.,3.93033527409875e-08,***
PE.O_.38.1.,3.94383366700222e-08,***
Hex.Cer_.44.2.,4.25963061668506e-08,***
Cer_.34.0.,4.44221063247764e-08,***
PC_.35.0.,5.08213587730463e-08,***
PC_.39.2.,8.53151112368393e-08,***
LPC_.17.1.,8.73879330255873e-08,***
Hex.Cer_.40.1.OH.,9.2288704320553e-08,***
Carnitine_.00.0.,1.02222961241281e-07,***
LPC_.22.3.,1.05434376267612e-07,***
PE.P_.35.0.,1.11722016257465e-07,***
Hex.Cer_.34.1.,1.17460389861323e-07,***
LPI_.20.2.,1.19333489061578e-07,***
CE_.20.5.,1.23646895666937e-07,***
TG_.48.0.,1.27441700542149e-07,***
GM2_.34.1.,1.34346274556815e-07,***
LysoPAF_.18.2.,1.38289486937984e-07,***
PG_.38.4.,1.47099090996995e-07,***
LPE_.22.3.,1.47827904136702e-07,***
SM_.35.1.,1.52864551823768e-07,***
Cer_.34.1.,1.5793780549131e-07,***
PC.P_.36.3.,1.60853665011381e-07,***
PC_.31.0.,1.94743413490062e-07,***
GD3_.34.1.,2.14840068348639e-07,***
PC_.35.1.,2.25929354580678e-07,***
LPI_.20.4.,2.43492742783943e-07,***
DG_.42.4.,2.4791721352282e-07,***
PC.O_.36.0.,2.74752708496001e-07,***
Hex.Cer_.37.0.,2.88541836347428e-07,***
Cer_.36.0.,3.08257652843763e-07,***
PC_.37.1.,3.17473027057472e-07,***
LPC_.17.0.,3.7218467245237e-07,***
PC_.40.3.,4.38209487042419e-07,***
SM_.36.1.,4.87122868069898e-07,***
PS_.40.4.,5.20194260767455e-07,***
PE_.32.1.,5.33129114827562e-07,***
FFA_.24.1.,5.4231606976838e-07,***
LPI_.18.2.,5.77081835992876e-07,***
PE.O_.39.2.,5.80934786186412e-07,***
CE_.20.4.,6.35937691469634e-07,***
PE.O_.40.2.,6.58412350675794e-07,***
DG_.38.1.,8.39694314629952e-07,***
PC_.39.0.,8.65413597226151e-07,***
PC_.42.6.,9.43331935539471e-07,***
CL_.68.02.,9.88820692662308e-07,***
LPE_.22.4.,9.98615592370676e-07,***
PE.P_.37.1.,1.0771140765272e-06,***
GM2_.32.1.,1.11619895039788e-06,***
Hex.Cer_.32.0.,1.13348005037895e-06,***
PC_.36.4.,1.26102509171499e-06,***
Lacto.cer_.44.1.,1.3209970641445e-06,***
PC_.33.1.,1.36929511961409e-06,***
PC.O_.40.4.,1.4017541054216e-06,***
PI_.40.6.,1.44053185168993e-06,***
LPC_.22.4.,1.45839925890833e-06,***
Sph_.20.1.,1.75569673671833e-06,***
PC_.37.2.,1.79242767552614e-06,***
GM2_.34.0.,1.82727342097233e-06,***
SM_.33.1.,2.55502863787982e-06,***
PC_.40.1.,2.72253405332437e-06,***
PC_.39.1.,2.72617038088196e-06,***
PI_.34.0.,3.0842547729122e-06,***
Cer_.40.2.,3.59506912501465e-06,***
Cer_.41.2.,4.43872346170997e-06,***
Lacto.cer_.40.1.,4.74100610587154e-06,***
PC.O_.38.1.,4.8501097691536e-06,***
Cer_.32.1.,4.90865000461777e-06,***
CL_.70.03.,5.33414232797845e-06,***
PE.P_.38.1.,5.48248943574493e-06,***
Cer_.38.1.,5.58193774234174e-06,***
PC_.35.2.,7.62301805520724e-06,***
Cer_.34.2.,7.82952506306696e-06,***
LPI_.18.0.,7.99544930813118e-06,***
LPI_.16.0.,8.40589124013603e-06,***
PC_.40.2.,8.4816611308057e-06,***
LPI_.18.1.,9.75528665334886e-06,***
TG_.59.8.,1.0150118361761e-05,***
PE_.36.3.,1.06760288951856e-05,***
CPE_.42.2.,1.30875481533373e-05,***
CE_.16.2.,1.399854098208e-05,***
GD3_.40.1.,1.73111388133502e-05,***
SM_.37.1.,1.92750264096566e-05,***
PA_.40.4.,1.97213880881936e-05,***
PE.O_.35.2.,2.00161265584055e-05,***
Cer_.37.1.,2.01634603108129e-05,***
Carnitine_.05.0.,2.04655989447201e-05,***
Cer_.39.1.,2.23135407529241e-05,***
LPI_.16.1.,2.7695028433908e-05,***
Cer_.43.2.,2.90177589285443e-05,***
PC.P_.40.6.,2.9187990931852e-05,***
PI_.40.5.,3.23812375130448e-05,***
