"lipid","skewness","kurtosis","shapiro_p","shapiro_p_adj","normality"
"LPC_.12.0.",0.867357615879898,2.11935821994188,1.2905849248082e-09,9.86195091810996e-09,"Non-normal"
"LPC_.14.0.",2.77640152826459,12.6334260418341,2.07620019328631e-09,9.86195091810996e-09,"Non-normal"
"LPC_.15.0.",7.34968415259167,55.0178571428572,8.7329482144046e-17,1.65926016073687e-15,"Non-normal"
"LPC_.16.0.",1.77943454873679,7.89147575562095,6.19238725054765e-06,7.35345986002534e-06,"Non-normal"
"LPC_.16.1.",1.78261815191607,7.42326321882997,4.10587435908819e-06,5.20077418817838e-06,"Non-normal"
"LPC_.17.0.",2.94232942848363,15.9942814672565,9.83556747136261e-09,3.73751563911779e-08,"Non-normal"
"LPC_.17.1.",2.84799827114718,15.6726921099528,3.02966859265248e-08,7.31539649602262e-08,"Non-normal"
"LPC_.18.0.",1.98464649406019,9.18139225316843,1.42183349259728e-06,1.92963116852488e-06,"Non-normal"
"LPC_.18.1.",1.50401336044995,6.6177655449211,4.42640846787064e-05,4.94716240526719e-05,"Non-normal"
"LPC_.18.2.",2.22823740870013,10.163198723059,3.64268616827584e-07,5.76758643310342e-07,"Non-normal"
"LPC_.20.0.",2.40265421495396,11.1200669114136,7.04339954850707e-08,1.33824591421634e-07,"Non-normal"
"LPC_.20.1.",3.12213246449446,16.2643519868579,1.71031718384141e-09,9.86195091810996e-09,"Non-normal"
"LPC_.20.2.",2.48469316696556,12.4526209408745,8.48390580686016e-08,1.46540191209403e-07,"Non-normal"
"LPC_.20.3.",2.46819583469835,11.6214203138578,4.76668729887971e-08,1.00630065198572e-07,"Non-normal"
"LPC_.20.5.",2.5881702387828,11.8261108811191,2.23866012615857e-08,7.08909039950213e-08,"Non-normal"
"LPC_.22.1.",0.965151980243585,4.05641112556507,0.000256424135886624,0.000256424135886624,"Non-normal"
"LPC_.22.3.",2.718470937076,14.5471904784173,3.08016694569373e-08,7.31539649602262e-08,"Non-normal"
"LPC_.22.4.",2.23678781377407,11.2598615414923,4.39146242984441e-07,6.41829124361876e-07,"Non-normal"
"LPC_.22.5.",1.51462690185578,7.00234036249974,0.000113612895006465,0.000119924722506824,"Non-normal"
