"lipid","skewness","kurtosis","shapiro_p","shapiro_p_adj","normality"
"PA_.32.1.",0.973360921894742,4.09005185662872,0.00366298978971956,0.00366298978971956,"Non-normal"
"PA_.32.2.",3.87941924850104,20.5940944029582,2.36288406187451e-12,5.19834493612392e-12,"Non-normal"
"PA_.34.2.",2.2350356988617,7.75972429708665,3.26594778147137e-09,5.9875709326975e-09,"Non-normal"
"PA_.36.1.",3.11527457342297,12.5442013784277,1.37758177784053e-13,3.78834988906145e-13,"Non-normal"
"PA_.36.2.",4.15091584017012,20.5087292044321,1.34834596520573e-14,7.41590280863151e-14,"Non-normal"
"PA_.38.1.",1.87896041213539,5.97977064508279,2.43804624000414e-08,3.8312155200065e-08,"Non-normal"
"PA_.38.2.",1.99874833824549,7.71628762064535,2.11560607755267e-07,2.58574076145326e-07,"Non-normal"
"PA_.38.3.",6.06222706055347,41.1621253420837,1.50562505991395e-15,1.65618756590535e-14,"Non-normal"
"PA_.40.2.",4.69357979792282,27.2409440888427,7.66933252590053e-14,2.81208859283019e-13,"Non-normal"
"PA_.40.4.",1.41772359554164,5.17199704774556,3.88785791503384e-05,4.27664370653722e-05,"Non-normal"
"PA_.40.6.",1.13755659584601,3.62639035678321,9.389401918122e-08,1.29104276374178e-07,"Non-normal"
