"lipid","skewness","kurtosis","shapiro_p","shapiro_p_adj","normality"
"CL_.66.01.",1.76388863590444,5.00146765448821,1.28105213756842e-10,1.23835039964947e-09,"Non-normal"
"CL_.66.03.",0.245731212709579,1.98805205785403,0.0351636662067399,0.0485593485712123,"Non-normal"
"CL_.66.04.",0.669735268968266,2.61334804318809,0.00319668655811218,0.00713107001425024,"Non-normal"
"CL_.68.02.",0.739268496011587,2.43497903497303,9.63972029890352e-05,0.000310613209631336,"Non-normal"
"CL_.68.03.",0.29317830311633,1.97079368742035,0.0153291945308902,0.0275296953057827,"Non-normal"
"CL_.68.04.",0.318323187275211,1.98201094687958,0.0180273293595925,0.0288773790816482,"Non-normal"
"CL_.68.05.",0.365624679574333,2.08052576791108,0.0161380972482174,0.0275296953057827,"Non-normal"
"CL_.68.06.",0.347845805872996,2.4878241292912,0.137716151536596,0.147917347946714,"Normal"
"CL_.69.04.",0.512599907626736,2.11996630955837,0.000908817518557213,0.00219630900317993,"Non-normal"
"CL_.69.05.",0.29894380368047,1.85431901104677,0.000285462658614979,0.000827841709983439,"Non-normal"
"CL_.69.06.",3.15364900699139,11.9517213455565,3.63396734526647e-14,1.05385053012728e-12,"Non-normal"
"CL_.70.03.",0.533703464973641,2.53654048907806,0.00786717989664809,0.0162963012144853,"Non-normal"
"CL_.70.04.",0.144295807687193,1.91429559941859,0.0264722928861885,0.0383848246849733,"Non-normal"
"CL_.70.05.",0.189408937086212,1.93005098919929,0.0515051409152468,0.0654536848770817,"Normal"
"CL_.70.06.",0.263198847262103,2.44544125879886,0.244535956524266,0.244535956524266,"Normal"
"CL_.70.07.",0.294341885297069,2.07115369552189,0.0519115431783752,0.0654536848770817,"Normal"
"CL_.71.04.",0.857521314470589,2.83045944647531,2.88698712528768e-05,0.000112297970034543,"Non-normal"
"CL_.71.05.",0.741065984291044,2.89062981357547,0.000648419547757299,0.0017094697168147,"Non-normal"
"CL_.71.06.",1.08537156130496,3.03558394370904,1.04914183239786e-07,6.08502262790758e-07,"Non-normal"
"CL_.72.04.",0.45298873654477,2.41049125896945,0.0189196621569419,0.0288773790816482,"Non-normal"
"CL_.72.05.",0.267788702868222,2.14208286509606,0.0732672106494977,0.0885312128681431,"Normal"
"CL_.72.06.",0.181436049430684,2.0452064638848,0.127266788753973,0.141951418225585,"Normal"
"CL_.72.07.",0.0859415926929723,2.10740789146959,0.172216782759436,0.178367382143702,"Normal"
"CL_.72.08.",0.500577423622634,2.8259100256829,0.120747579825795,0.140067192597922,"Normal"
"CL_.73.06.",1.70332031453317,5.0927665188117,1.41358754208986e-09,1.02485096801515e-08,"Non-normal"
"CL_.74.05.",0.967156547154816,3.09644837157748,3.09787503543566e-05,0.000112297970034543,"Non-normal"
"CL_.74.08.",0.639389929011111,2.69632112932314,0.00948479673337454,0.0183372736845241,"Non-normal"
"CL_.74.09.",1.18210377624051,3.97978891830938,3.37565242250814e-06,1.6315653375456e-05,"Non-normal"
"CL_.75.06.",2.21725466069241,6.83372092096017,2.22236600614138e-12,3.22243070890501e-11,"Non-normal"
