"lipid","skewness","kurtosis","shapiro_p","shapiro_p_adj","normality"
"PC_.30.0.",0.754426030276501,3.4910704143046,0.0328902870074736,0.0493354305112104,"Non-normal"
"PC_.31.0.",0.725080055547469,3.77015786926613,0.0250712409702878,0.0395063736705393,"Non-normal"
"PC_.32.0.",0.569896601695425,3.25066953175573,0.169780745323926,0.194748501989209,"Normal"
"PC_.32.1.",0.690821718339174,3.3168267686073,0.0748445900735989,0.0941593229958179,"Normal"
"PC_.33.0.",0.183222819128107,2.52174968539834,0.141181971412865,0.166851420760658,"Normal"
"PC_.33.1.",0.702030472419034,3.73960450479451,0.0438731446515218,0.0611090229074768,"Normal"
"PC_.34.0.",0.175836830720899,2.85159863300044,0.758555402243669,0.758555402243669,"Normal"
"PC_.34.1.",0.568356842244269,3.20316347876579,0.0645399399802696,0.0867950916976039,"Normal"
"PC_.34.2.",0.697111891398309,3.69814811068081,0.0827018503638633,0.100792880130958,"Normal"
"PC_.35.0.",1.25614644133516,5.47395440536096,7.3929231502363e-05,0.000205945716328011,"Non-normal"
"PC_.35.1.",0.679992712808243,3.47286330454966,0.025324598506756,0.0395063736705393,"Non-normal"
"PC_.35.2.",0.971486899099141,4.74112703810462,0.0106199987848769,0.0180078240265304,"Non-normal"
"PC_.36.0.",1.31175175497519,5.4331007647733,0.000439447843646909,0.00100814505307232,"Non-normal"
"PC_.36.1.",0.699551197544858,3.64397307097762,0.0715680339900878,0.0930384441871142,"Normal"
"PC_.36.2.",0.446788794231505,3.17396986767939,0.205415946247335,0.224438687240035,"Normal"
"PC_.36.4.",1.08102024019564,5.72016719557693,0.0043175087392098,0.00841914204145911,"Non-normal"
"PC_.37.0.",3.88857531987798,20.5679579730169,1.11021052838063e-11,1.44327368689482e-10,"Non-normal"
"PC_.37.1.",1.49536902462921,6.577258171337,5.13260062942596e-05,0.000153978018882779,"Non-normal"
"PC_.37.2.",1.22130814492544,6.10507335148384,0.000761433482678771,0.001649772545804,"Non-normal"
"PC_.37.3.",0.919797478806463,3.34462119716973,0.00222085277500324,0.00455859253816455,"Non-normal"
"PC_.37.6.",0.358541405049696,2.22436702688143,0.00520325851767682,0.00957372480670468,"Non-normal"
"PC_.38.0.",2.62148301103868,10.8364648571443,1.36692808997407e-09,1.06620391017978e-08,"Non-normal"
"PC_.38.1.",0.470327135231839,3.15055587125752,0.508641353711467,0.522026652493348,"Normal"
"PC_.38.2.",0.798407508484262,3.92196767591696,0.0417738761072063,0.0603400432659647,"Normal"
"PC_.38.4.",1.68980621264982,6.45368887276828,5.55209506647156e-06,2.16531707592391e-05,"Non-normal"
"PC_.38.6.",-0.0787013680997964,2.6621501890401,0.406886704106781,0.428880580004445,"Normal"
"PC_.39.0.",2.77223193644369,10.4260757646205,8.33028556741317e-12,1.44327368689482e-10,"Non-normal"
"PC_.39.1.",2.61366815141589,12.3038295510496,1.91334880876434e-08,1.24367672569682e-07,"Non-normal"
"PC_.39.2.",1.60026662920936,7.04087603417659,3.20411069532646e-05,0.00010413359759811,"Non-normal"
"PC_.39.5.",-0.157179687172219,2.09596937710412,0.207174172836955,0.224438687240035,"Normal"
"PC_.40.0.",1.91684933584469,5.72407335571073,1.10398636400549e-10,1.07638670490536e-09,"Non-normal"
"PC_.40.1.",1.88305625617394,8.20647536795157,5.22610960035465e-06,2.16531707592391e-05,"Non-normal"
"PC_.40.2.",1.38402861449791,6.34698851725167,0.000418587051917239,0.00100814505307232,"Non-normal"
"PC_.40.3.",1.38046899748817,5.90470373875173,0.000225727435817128,0.000586891333124532,"Non-normal"
"PC_.42.1.",0.961982744920216,4.14424717510107,0.00540056271147444,0.00957372480670468,"Non-normal"
"PC_.42.2.",1.91555650827262,9.79709816419152,9.31926191091824e-06,3.30410195023465e-05,"Non-normal"
"PC_.42.3.",2.44542490710041,11.9587633328226,2.2641161474235e-07,1.26143613927881e-06,"Non-normal"
"PC_.42.6.",1.88787676683297,8.309771496172,5.35532350488431e-06,2.16531707592391e-05,"Non-normal"
"PC_.42.9.",3.14194338037859,11.8676583164034,3.75858537255501e-14,1.46584829529645e-12,"Non-normal"
